isRegion, Area ,REVENUE,Total Wellhead Mcf/day,NGL Production Bbls per day, Date 
no,           NGL Marketing SEC ,"905,124,232.24",0.00,0.00," Sep, 2017 "
no,           NGL Logistics SEC ,"26,248,795.27",0.00,0.00," Sep, 2017 "
no,           Wholesale Propane SEC ,"9,459,138.96",0.00,0.00," Sep, 2017 "
no,           Logistics Other SEC ,"-433,067,437.90",0.00,0.00," Sep, 2017 "
yes,      Logistics SEC ,"718,222,209.25","252,564.00",0.00," Sep, 2017 "
no,                Michigan SEC ,"2,022,277.49","193,948.39",0.00," Oct, 2017 "
no,                DJ Basin SEC ,"114,471,337.18","862,721.00",84928.00," Oct, 2017 "
no,                Piceance Basin SEC ,"731,815.28","89,550.00",0.00," Oct, 2017 "
yes,           North SEC ,"117,225,429.95","1,146,219.39",84928.00," Oct, 2017 "
no,                Goldsmith/Fullerton SEC ,"32,473,794.96","187,496.00",25249.00," Oct, 2017 "
no,                Ozona SEC ,"27,357,749.67","194,230.58",19722.22," Oct, 2017 "
no,                Southeast New Mexico SEC ,"73,924,354.84","410,442.00",44063.00," Oct, 2017 "
no,                Triad SEC ,"26,180,095.72","143,332.23",20889.99," Oct, 2017 "
no,                Permian Other SEC ,"-5,566,815.02",0.00,0.00," Oct, 2017 "
yes,           Permian SEC ,"154,369,180.17","935,500.81",109924.21," Oct, 2017 "
no,                Arklatex SEC ,"17,066,654.52","338,498.00",14725.00," Oct, 2017 "
no,                Discovery SEC ,0.00,"132,858.00",8331.00," Oct, 2017 "
no,                Gulf Coast SEC ,"3,591,491.64","118,117.55",3829.12," Oct, 2017 "
no,                South Central Texas SEC ,"90,112,663.17","633,716.94",77193.59," Oct, 2017 "
no,                Barnett Shale SEC ,"2,377,174.39","21,313.00",2296.00," Oct, 2017 "
no,                South Other SEC ,"-15,115,873.48",0.00,0.00," Oct, 2017 "
yes,           South SEC ,"98,032,110.24","1,244,503.49",106374.71," Oct, 2017 "
no,                Central Oklahoma SEC ,"31,379,169.98","256,871.00",31268.00," Oct, 2017 "
no,                Liberal SEC ,"45,820,483.90","425,929.09",28676.00," Oct, 2017 "
no,                Panhandle SEC ,"34,643,144.43","207,240.00",21162.00," Oct, 2017 "
no,                Southern Oklahoma SEC ,"44,972,565.21","373,868.00",25320.00," Oct, 2017 "
no,                Mid Continent Other SEC ,"-4,285,580.41",0.00,0.00," Oct, 2017 "
yes,           Mid Continent SEC ,"152,529,783.11","1,263,908.09",106426.00," Oct, 2017 "
